"71060481" 1 1
"71060481" 2 1
"71060481" 3 0
"71060481" 4 1
"71060481" 5 1
"71060481" 6 0
"71060481" 7 1
"71060481" 8 0
"71060481" 9 0
"71060481" 10 1
"54519711" 1 1
"54519711" 2 1
"54519711" 3 1
"54519711" 4 1
"54519711" 5 1
"54519711" 6 0
"54519711" 7 1
"54519711" 8 1
"54519711" 9 0
"54519711" 10 0
"62995343" 1 1
"62995343" 2 1
"62995343" 3 1
"62995343" 4 1
"62995343" 5 1
"62995343" 6 0
"62995343" 7 1
"62995343" 8 1
"62995343" 9 1
"62995343" 10 1
"61005370" 1 1
"61005370" 2 1
"61005370" 3 1
"61005370" 4 1
"61005370" 5 0
"61005370" 6 1
"61005370" 7 1
"61005370" 8 1
"61005370" 9 1
"61005370" 10 1
"17135110" 1 1
"17135110" 2 1
"17135110" 3 1
"17135110" 4 1
"17135110" 5 1
"17135110" 6 1
"17135110" 7 1
"17135110" 8 1
"17135110" 9 1
"17135110" 10 1
"3819914" 1 1
"3819914" 2 1
"3819914" 3 1
"3819914" 4 1
"3819914" 5 1
"3819914" 6 1
"3819914" 7 1
"3819914" 8 1
"3819914" 9 1
"3819914" 10 1
"3819910" 1 1
"3819910" 2 1
"3819910" 3 1
"3819910" 4 1
"3819910" 5 0
"3819910" 6 1
"3819910" 7 1
"3819910" 8 1
"3819910" 9 0
"3819910" 10 1
"3819910" 1 1
"3819910" 2 1
"3819910" 3 1
"3819910" 4 1
"3819910" 5 0
"3819910" 6 1
"3819910" 7 1
"3819910" 8 1
"3819910" 9 0
"3819910" 10 1
"3599716" 1 1
"3599716" 2 1
"3599716" 3 1
"3599716" 4 1
"3599716" 5 1
"3599716" 6 1
"3599716" 7 1
"3599716" 8 1
"3599716" 9 1
"3599716" 10 1
"438870962" 1 1
"438870962" 2 1
"438870962" 3 1
"438870962" 4 1
"438870962" 5 1
"438870962" 6 1
"438870962" 7 1
"438870962" 8 1
"438870962" 9 1
"438870962" 10 0
"97313258" 2 0
"97313258" 5 0
"121107876" 1 1
"121107876" 2 1
"121107876" 3 1
"121107876" 4 1
"121107876" 5 1
"121107876" 6 1
"121107876" 7 1
"121107876" 8 1
"121107876" 9 1
"121107876" 10 1
"141457061" 1 0
"141457061" 2 1
"141457061" 4 1
"141457061" 5 0
"141457061" 6 0
"141457061" 7 1
"141457061" 8 1
"141457061" 9 0
"141457061" 10 1
"421100932" 1 1
"421100932" 2 1
"421100932" 3 0
"421100932" 4 1
"421100932" 5 1
"421100932" 6 1
"421100932" 7 0
"421100932" 8 1
"421100932" 9 1
"421100932" 10 0
"103870122" 1 1
"103870122" 2 1
"103870122" 3 1
"103870122" 4 1
"103870122" 5 1
